21ur-10529,8,not enriched (score: -1)
21ur-1053,8,n.d.
21ur-10530,n.d.,female (score: 9)
21ur-10531,7,male (score: -5)
21ur-10532,14,not enriched (score: 2)
21ur-10533,0,male (score: -9)
21ur-10534,4,male (score: -7)
21ur-10535,0,female (score: 3)
21ur-10536,n.d.,not enriched (score: -2)
21ur-10537,11,not enriched (score: -2)
21ur-10538,7,male (score: -8)
21ur-10539,2,n.d.
21ur-1054,1,male (score: -11)
21ur-10540,0,n.d.
21ur-10541,56,male (score: -4)
21ur-10542,11,male (score: -13)
21ur-10543,9,not enriched (score: -2)
21ur-10544,2,male (score: -4)
21ur-10545,1,female (score: 4)
21ur-10546,44,n.d.
21ur-10547,5,male (score: -3)
21ur-10548,6,not enriched (score: -2)
21ur-10549,1,not enriched (score: -1)
21ur-1055,97,male (score: -3)
21ur-10550,1,male (score: -10)
21ur-10551,10,female (score: 9)
21ur-10552,27,not enriched (score: 0)
21ur-10553,15,male (score: -11)
21ur-10554,1,male (score: -7)
21ur-10555,2,male (score: -6)
21ur-10556,14,male (score: -11)
21ur-10557,0,n.d.
21ur-10558,20,male (score: -7)
21ur-10559,14,male (score: -9)
21ur-1056,207,male (score: -4)
21ur-10560,2,male (score: -3)
21ur-10562,2,male (score: -5)
21ur-10563,8,male (score: -8)
21ur-10564,2,male (score: -10)
21ur-10565,0,not enriched (score: -2)
21ur-10566,0,female (score: 4)
21ur-10567,10,male (score: -5)
21ur-10568,1,not enriched (score: -2)
21ur-10569,0,n.d.
21ur-1057,96,male (score: -14)
21ur-10570,n.d.,female (score: 7)
21ur-10571,7,male (score: -3)
21ur-10572,1,male (score: -5)
21ur-10573,0,female (score: 7)
21ur-10574,1,male (score: -3)
21ur-10575,0,male (score: -6)
21ur-10576,2,n.d.
21ur-10577,6,male (score: -5)
21ur-10578,n.d.,female (score: 7)
21ur-10579,11,not enriched (score: -2)
21ur-1058,2,not enriched (score: 0)
21ur-10580,3,male (score: -9)
21ur-10581,n.d.,not enriched (score: 0)
21ur-10582,20,female (score: 5)
21ur-10583,20,male (score: -10)
21ur-10584,22,n.d.
21ur-10585,0,female (score: 6)
21ur-10586,n.d.,female (score: 8)
21ur-10587,15,female (score: 5)
21ur-10588,32,male (score: -8)
21ur-10589,22,not enriched (score: -2)
21ur-1059,152,male (score: -11)
21ur-10590,0,not enriched (score: 0)
21ur-10591,2,not enriched (score: 0)
21ur-10592,6,female (score: 7)
21ur-10593,n.d.,male (score: -3)
21ur-10594,0,not enriched (score: -2)
21ur-10595,3,male (score: -4)
21ur-10596,11,not enriched (score: 0)
21ur-10597,0,male (score: -4)
21ur-10598,8,male (score: -3)
21ur-10599,24,not enriched (score: -1)
21ur-106,n.d.,male (score: -7)
21ur-1060,59,male (score: -13)
21ur-10600,6,male (score: -10)
21ur-10601,n.d.,not enriched (score: 0)
21ur-10602,4,female (score: 8)
21ur-10603,n.d.,male (score: -9)
21ur-10604,7,n.d.
21ur-10605,0,n.d.
21ur-10606,4,not enriched (score: -1)
21ur-10607,28,n.d.
21ur-10608,0,male (score: -6)
21ur-10609,n.d.,not enriched (score: -1)
21ur-1061,121,not enriched (score: 0)
21ur-10610,18,male (score: -9)
21ur-10611,2,female (score: 9)
21ur-10612,8,male (score: -10)
21ur-10613,8,male (score: -9)
21ur-10614,2,male (score: -3)
21ur-10615,8,male (score: -7)
21ur-10616,22,male (score: -9)
21ur-10617,4,female (score: 11)
21ur-10618,1,female (score: 4)
21ur-10619,0,not enriched (score: 0)
21ur-1062,23,female (score: 5)
21ur-10620,3,not enriched (score: -1)
21ur-10621,0,n.d.
21ur-10622,5,male (score: -5)
21ur-10623,22,not enriched (score: -2)
21ur-10624,20,male (score: -5)
21ur-10625,0,male (score: -4)
21ur-10626,3,male (score: -4)
21ur-10627,25,male (score: -8)
21ur-10628,0,not enriched (score: 0)
21ur-1063,674,male (score: -14)
21ur-10630,9,male (score: -7)
21ur-10632,35,male (score: -3)
21ur-10633,9,male (score: -7)
21ur-10634,13,male (score: -9)
21ur-10635,2,female (score: 9)
21ur-10636,7,male (score: -3)
21ur-10637,2,n.d.
21ur-10638,3,male (score: -6)
21ur-10639,53,not enriched (score: -2)
21ur-1064,2,male (score: -10)
21ur-10640,2,n.d.
21ur-10641,7,not enriched (score: -1)
21ur-10642,1,n.d.
21ur-10643,1,n.d.
21ur-10644,n.d.,female (score: 8)
21ur-10645,n.d.,not enriched (score: 0)
21ur-10646,4,male (score: -9)
21ur-10647,0,female (score: 8)
21ur-10648,0,female (score: 5)
21ur-10649,8,female (score: 7)
21ur-1065,266,not enriched (score: 0)
21ur-10650,1,male (score: -3)
21ur-10651,0,n.d.
21ur-10652,0,n.d.
21ur-10653,1,male (score: -7)
21ur-10654,27,male (score: -3)
21ur-10655,54,male (score: -3)
21ur-10656,7,male (score: -9)
